"","Country","Gender","Age","EmploymentStatus","EmployerIndustry","FormalEducation","Major","CompensationAmount","CompensationCurrency","CurrentJobTitle","TitleFit","LanguageRecommendation","DataScienceIdentity","WorkDataVisualizations","JobSatisfaction","JobSatisfaction2"
"165","Canada","Male",28,"Employed full-time","Hospitality/Entertainment/Sports","Bachelor's degree","A social science",70000,"CAD","Data Analyst","Perfectly","Python","Sort of (Explain more)","51-75% of projects","10 - Highly Satisfied",10
"166","United States","Male",50,"Employed full-time","Technology","Bachelor's degree","Electrical Engineering",1e+06,"USD","Researcher","Poorly","Python","No","100% of projects","5",5
"167","United States","Male",24,"Independent contractor, freelancer, or self-employed","Financial","Bachelor's degree","Mathematics or statistics",95000,"USD","Business Analyst","Poorly","Python","Yes","76-99% of projects","3",3
"168","United States","Male",44,"Employed full-time","Government","Doctoral degree","Other",120000,"USD","Scientist/Researcher","Perfectly","SAS","No","100% of projects","3",3
"169","United States","Male",35,"Employed full-time","Hospitality/Entertainment/Sports","Doctoral degree","Electrical Engineering",150000,"USD","Machine Learning Engineer","Fine","Python","Yes","26-50% of projects","6",6
"170","Australia","Female",25,"Employed part-time","Mix of fields","Master's degree","Mathematics or statistics",65000,"AUD","Data Miner","Fine","Python","Sort of (Explain more)","51-75% of projects","7",7
"171","Singapore","Male",23,"Employed part-time","Mix of fields","Bachelor's degree","Mathematics or statistics",6000,"SGD","Other","Poorly","R","Sort of (Explain more)","Less than 10% of projects","6",6
"172","People 's Republic of China","Male",35,"Employed full-time","Internet-based","I prefer not to answer","Computer Science",240000,"CNY","Business Analyst","Fine","Python","No","10-25% of projects","5",5
"173","United States","Male",40,"Employed full-time","Telecommunications","Master's degree","Mathematics or statistics",1e+05,"USD","Software Developer/Software Engineer","Fine","Python","No","None","5",5
"174","Indonesia","Male",26,"Employed full-time","Academic","Master's degree","Computer Science",1.2e+08,"IDR","Scientist/Researcher","Fine","Python","Yes","51-75% of projects","7",7
"175","United States","Male",34,"Employed full-time","Technology","Bachelor's degree","A social science",115500,"USD","Data Analyst","Fine","Python","Sort of (Explain more)","51-75% of projects","7",7
"176","United States","Male",29,"Employed full-time","Technology","Doctoral degree","Mathematics or statistics",172000,"USD","Scientist/Researcher","Fine","Python","Yes","26-50% of projects","9",9
"177","Other","Male",24,"Employed part-time","Financial","Bachelor's degree","Computer Science",1000,"USD","Software Developer/Software Engineer","Fine","Python","Sort of (Explain more)","Less than 10% of projects","5",5
"178","Indonesia","Male",31,"Employed full-time","Financial","Master's degree","Computer Science",10000,"USD","Software Developer/Software Engineer","Perfectly","Python","No","Less than 10% of projects","7",7
"179","Philippines","Female",22,"Employed full-time","Technology","Bachelor's degree","Mathematics or statistics",23000,"PHP","Data Analyst","Fine","R","No","51-75% of projects","7",7
"180","Canada","Male",27,"Employed full-time","Academic","Bachelor's degree","Engineering (non-computer focused)",30000,"CAD","Scientist/Researcher","Fine","Python","No","100% of projects","3",3
"181","United States","Male",21,"Employed full-time","Technology","Bachelor's degree","Computer Science",110000,"USD","Machine Learning Engineer","Fine","Python","No","100% of projects","9",9
"182","India","Male",29,"Employed full-time","Insurance","Master's degree","Computer Science",1500000,"INR","Business Analyst","Perfectly","SQL","Sort of (Explain more)","51-75% of projects","8",8
"183","Australia","Male",40,"Employed full-time","Technology","Bachelor's degree","Computer Science",120000,"AUD","Software Developer/Software Engineer","Perfectly","Python","No","Less than 10% of projects","4",4
"184","India","Male",30,"Employed full-time","Academic","Master's degree","Electrical Engineering",7e+05,"INR","Machine Learning Engineer","Fine","Matlab","Sort of (Explain more)","10-25% of projects","8",8
"185","Indonesia","Male",23,"Employed full-time","CRM/Marketing","Bachelor's degree","Computer Science",1.4e+08,"IDR","Machine Learning Engineer","Perfectly","Python","Yes","10-25% of projects","8",8
"186","India","Male",39,"Employed full-time","Academic","Master's degree","Computer Science",1e+05,"INR","Other","Fine","R","Sort of (Explain more)","26-50% of projects","8",8
"187","Philippines","Male",33,"Employed full-time","Other","Bachelor's degree","A social science",28000,"HKD","Business Analyst","Fine","R","Yes","51-75% of projects","8",8
"188","Canada","Male",23,"Employed full-time","Financial","Master's degree","Computer Science",72000,"CAD","Data Analyst","Fine","Python","No","76-99% of projects","5",5
"189","Canada","Female",61,"Independent contractor, freelancer, or self-employed","Technology","Bachelor's degree","Mathematics or statistics",70000,"CAD","Business Analyst","Poorly","SQL","Sort of (Explain more)","10-25% of projects","5",5
"190","United States","Female",50,"Employed full-time","Academic","Doctoral degree","Electrical Engineering",120000,"USD","Scientist/Researcher","Fine","Python","Yes","100% of projects","8",8
"191","Singapore","Male",34,"Employed full-time","Government","Doctoral degree","Computer Science",80000,"SGD","Scientist/Researcher","Fine","Python","Yes","26-50% of projects","4",4
"192","Pakistan","Male",36,"Employed full-time","Technology","Bachelor's degree","Computer Science",30000,"USD","Programmer","Perfectly","R","Yes","Less than 10% of projects","10 - Highly Satisfied",10
"193","Colombia","Male",29,"Employed full-time","Other","Master's degree","Engineering (non-computer focused)",4e+06,"COP","Business Analyst","Perfectly","Python","Yes","26-50% of projects","7",7
"194","India","Male",29,"Employed full-time","Academic","Master's degree","Computer Science",540000,"INR","DBA/Database Engineer","Fine","Python","No","None","7",7
"195","United States","Non-binary, genderqueer, or gender non-conforming",22,"Employed full-time","Mix of fields","Bachelor's degree","Computer Science",1e+05,"USD","Software Developer/Software Engineer","Perfectly","Python","Yes","51-75% of projects","8",8
"196","United States","Male",24,"Employed full-time","Mix of fields","Bachelor's degree","A social science",58000,"USD","Data Analyst","Fine","R","Yes","76-99% of projects","8",8
"197","Sweden","Male",40,"Employed full-time","Academic","Doctoral degree","Computer Science",47000,"SEK","Computer Scientist","Fine","Python","Yes","10-25% of projects","8",8
"198","United States","Male",31,"Employed full-time","Mix of fields","Doctoral degree","Mathematics or statistics",80000,"USD","Operations Research Practitioner","Fine","R","Yes","100% of projects","5",5
"199","Japan","Male",33,"Employed full-time","Technology","Bachelor's degree","Computer Science",9e+06,"JPY","Machine Learning Engineer","Fine","Python","Yes","26-50% of projects","6",6
"200","United States","Female",37,"Employed full-time","Academic","Doctoral degree","Biology",88500,"USD","Scientist/Researcher","Poorly","Python","Yes","100% of projects","7",7
"201","Germany","Male",43,"Employed full-time","Internet-based","Master's degree","Electrical Engineering",50000,"EUR","Software Developer/Software Engineer","Perfectly","Python","No","51-75% of projects","8",8
"202","Nigeria","Male",31,"Employed full-time","Telecommunications","Bachelor's degree","Electrical Engineering",6e+06,"NGN","Data Analyst","Fine","Other","Yes","100% of projects","10 - Highly Satisfied",10
"203","India","Male",30,"Employed full-time","Insurance","Bachelor's degree","Electrical Engineering",1420000,"INR","Business Analyst","Fine","Python","No","100% of projects","10 - Highly Satisfied",10
"204","India","Female",28,"Employed full-time","Technology","Master's degree","Mathematics or statistics",770000,"INR","Other","Fine","R","Yes","51-75% of projects","5",5
"205","United States","Male",37,"Employed full-time","Other","Master's degree","Other",75000,"USD","Software Developer/Software Engineer","Perfectly","Python","Yes","100% of projects","8",8
"206","United States","Male",31,"Employed full-time","Technology","Doctoral degree","Engineering (non-computer focused)",2e+05,"USD","Scientist/Researcher","Perfectly","Python","Sort of (Explain more)","76-99% of projects","9",9
"207","India","Male",24,"Independent contractor, freelancer, or self-employed","Mix of fields","Bachelor's degree","Electrical Engineering",6e+05,"INR","Data Analyst","Fine","R","No","51-75% of projects","6",6
"208","Brazil","Male",27,"Employed full-time","Other","Master's degree","Computer Science",15000,"USD","Software Developer/Software Engineer","Fine","Python","Yes","100% of projects","8",8
"209","India","Female",43,"Employed full-time","Academic","Doctoral degree","Electrical Engineering",75000,"RUB","Researcher","Fine","R","Yes","Less than 10% of projects","8",8
"210","United States","Male",43,"Employed full-time","Retail","Master's degree","Mathematics or statistics",95000,"USD","Data Analyst","Fine","R","Yes","Less than 10% of projects","10 - Highly Satisfied",10
"211","India","Male",45,"Independent contractor, freelancer, or self-employed","Technology","Master's degree","Computer Science",7500000,"INR","Software Developer/Software Engineer","Fine","Python","Sort of (Explain more)","10-25% of projects","10 - Highly Satisfied",10
"212","Sweden","Male",32,"Employed full-time","Technology","Master's degree","Other",50000,"SEK","Scientist/Researcher","Fine","Python","Sort of (Explain more)","76-99% of projects","6",6
"213","India","Male",28,"Employed part-time","Government","Master's degree","Other",0,"INR","Data Analyst","Fine","SQL","Yes","10-25% of projects","2",2
"214","India","Male",25,"Employed full-time","CRM/Marketing","Bachelor's degree","Computer Science",5e+05,"INR","Predictive Modeler","Fine","Python","Yes","51-75% of projects","7",7
"215","India","Male",39,"Employed full-time","Technology","Master's degree","Mathematics or statistics",1700000,"INR","Software Developer/Software Engineer","Fine","R","Yes","Less than 10% of projects","3",3
"216","India","Male",24,"Employed full-time","Mix of fields","Master's degree","Information technology, networking, or system administration",750000,"INR","Business Analyst","Fine","R","No","10-25% of projects","6",6
"217","People 's Republic of China","Male",29,"Employed full-time","Technology","Master's degree","Mathematics or statistics",170000,"CNY","Machine Learning Engineer","Perfectly","Python","No","10-25% of projects","6",6
"218","United States","Male",27,"Employed full-time","Technology","Master's degree","Computer Science",95000,"USD","Software Developer/Software Engineer","Poorly","Python","Sort of (Explain more)","51-75% of projects","1 - Highly Dissatisfied",1
"219","United States","Female",40,"Employed full-time","Other","Bachelor's degree","Management information systems",65000,"USD","Business Analyst","Poorly","SAS","Sort of (Explain more)","76-99% of projects","3",3
"220","Brazil","Male",30,"Employed full-time","Other","Master's degree","Electrical Engineering",109000,"BRL","Engineer","Poorly","R","Yes","76-99% of projects","8",8
"221","India","Male",23,"Employed full-time","Pharmaceutical","Bachelor's degree","Engineering (non-computer focused)",7e+05,"INR","Data Analyst","Poorly","R","Yes","76-99% of projects","3",3
"222","United States","Female",28,"Independent contractor, freelancer, or self-employed","Military/Security","Bachelor's degree","Mathematics or statistics",60000,"USD","Other","Fine","Python","Sort of (Explain more)","10-25% of projects","10 - Highly Satisfied",10
